date,price_usd,volume_usd
2025-07-21,6176.2289403379555,26519862.683349
2025-07-22,6138.807273820106,26684908.650477998
2025-07-23,6140.281407516587,31187511.826424
2025-07-24,5598.261074674555,30071112.301929858
2025-07-25,5540.8520603717225,26720994.5890977
2025-07-26,5522.401593085295,27346719.385538716
2025-07-27,5580.518732558647,13959818.387655813
2025-07-28,5717.3850414613025,16839292.367251165
2025-07-29,5457.371527708031,24482846.736940786
2025-07-30,5444.381787663365,22631382.661259703
2025-07-31,5450.926874063067,22787018.3597587
2025-08-01,5204.457056231962,20900012.239441488
2025-08-02,5083.430247090896,28157527.46563349
2025-08-03,5030.075180699364,17571905.556540273
2025-08-04,5115.700209339724,10886033.697730305
2025-08-05,5359.322932938237,14423398.357690431
2025-08-06,5203.926079587497,14389657.319789771
2025-08-07,5256.565377286597,12827644.907585692
2025-08-08,5489.311279927471,14859952.071061255
2025-08-09,5589.5748807076,33648776.08938545
2025-08-10,6102.71949404483,28294802.265010078
2025-08-11,5856.044116513555,28897969.352732375
2025-08-12,5607.527149608537,25184913.514808502
2025-08-13,5876.002381008649,21833144.482614666
2025-08-14,6044.268311390998,27197588.045140978
2025-08-15,5592.455899217577,30245027.00286671
2025-08-16,5597.725239157471,51175330.31072112
2025-08-17,5648.489926208931,31426378.93897955
2025-08-18,5684.060087907674,17223541.849039182
2025-08-19,5518.601351068513,17715849.939410336
2025-08-20,5345.563210570278,16679138.855585082
2025-08-21,5596.171820680868,15214205.052676471
2025-08-22,5407.282884083475,15617116.000044536
2025-08-23,5990.112438926289,34972736.32705951
2025-08-24,5917.479465970453,18281819.42125043
2025-08-25,5765.849046178692,20775915.101742804
2025-08-26,5361.456216441973,24667292.919514313
2025-08-27,5528.231310319672,17341334.115658775
2025-08-28,5459.798197789613,15247296.156431645
2025-08-29,5469.8448466694745,17312512.510091633
2025-08-30,5322.128001808963,17855180.53391915
2025-08-31,5351.555345952912,10468524.14096318
2025-09-01,5264.003649294171,11747770.118483363
2025-09-02,5187.117331199789,14941829.438053584
2025-09-03,5285.525522535809,17916590.67358486
2025-09-04,5328.343005935526,13174288.947689613
2025-09-05,5169.619103406828,14528974.500679664
2025-09-06,5236.732630588829,14796560.163314179
2025-09-07,5172.808332290987,9385410.103780039
2025-09-08,5225.065837472539,9272347.128445117
2025-09-09,5325.308984395609,14679798.423353668
2025-09-10,5382.580326856851,20133560.86546549
2025-09-11,5458.054404001814,17920241.142911382
2025-09-12,5499.272634630539,33372489.068146303
2025-09-13,5656.158875378797,16573147.727568863
2025-09-14,5667.403530921947,15679731.339491796
2025-09-15,5522.012558162309,12982303.569837993
2025-09-16,5360.155935127129,14432150.98589975
2025-09-17,5464.1221979788825,10766462.156827789
2025-09-18,5522.91224646333,15738186.293737875
2025-09-19,5512.131140204048,13393797.677008338
2025-09-20,5303.141604890058,11448224.07623234
2025-09-21,5361.644061621385,8866457.463083629
2025-09-22,5304.795782506568,8958962.875262091
2025-09-23,5086.465341381118,21485124.692696605
2025-09-24,5150.644397286634,12865710.499712622
2025-09-25,5193.198009873371,11980586.721883882
2025-09-26,4973.351604022811,20528147.49581846
2025-09-27,5196.916196108742,18141636.234572906
2025-09-28,5142.878385604693,9911520.210644793
2025-09-29,5398.950596139843,24341705.989514317
2025-09-30,5367.84525165903,19750958.57296421
2025-10-01,5384.93411882551,17402166.222017597
2025-10-02,5547.032009647991,17504367.22461264
2025-10-03,5534.1020012878935,16216201.917812066
2025-10-04,5549.676669845172,13871558.955900455
2025-10-05,5447.288362130483,11075751.580943901
2025-10-06,5398.12187715493,12927136.504597483
2025-10-07,5554.816536677764,12449504.250516882
2025-10-08,5393.659918084792,13037309.238148501
2025-10-09,5438.254226048559,14790603.3464426
2025-10-10,5311.270082614897,11043914.14265626
2025-10-11,4579.950939657072,45174687.973130524
2025-10-12,4700.36426115006,29370521.75612826
2025-10-13,4889.501611402408,21438501.148995142
2025-10-14,5036.2536880010675,25804028.79447127
2025-10-15,4933.774943574567,26611176.970993746
2025-10-16,4805.506498632958,20657022.663706273
2025-10-17,4655.869692676772,22159445.433212772
2025-10-18,4661.7820631690465,20309653.81921494
2025-10-18,4732.085896268662,16713085.90373014
