date,price_usd,volume_usd
2025-07-21,53.82595831326903,116229128.08348331
2025-07-22,53.954549121834006,148515190.73626983
2025-07-23,52.83675879390048,82913039.20477282
2025-07-24,50.19360854743786,79477766.54077484
2025-07-25,47.862726976464884,68026869.07861462
2025-07-26,48.726718657991846,56178775.201227106
2025-07-27,49.26344962313667,31588050.03345568
2025-07-28,51.25981935843464,65407847.049612746
2025-07-29,48.28458160525156,64787449.86523721
2025-07-30,47.526172528486086,59804878.34430758
2025-07-31,47.01692432044292,49469827.79491631
2025-08-01,45.01886915600234,43762878.103364654
2025-08-02,44.059011710416954,84491218.1400211
2025-08-03,44.35215429655388,45121680.73058245
2025-08-04,44.88718211751108,27703677.372895587
2025-08-05,47.10321330327772,34981772.28505348
2025-08-06,45.74447396596754,30944273.824721154
2025-08-07,46.214286802404686,23759036.05879421
2025-08-08,48.40990868801006,23052839.917713195
2025-08-09,49.49204432164035,72969453.68903928
2025-08-10,55.43120870698401,116558766.56708835
2025-08-11,54.19506259067394,57315584.06123474
2025-08-12,50.915031081407264,50411752.16350612
2025-08-13,53.1225759088784,46459480.999010436
2025-08-14,54.01586700407773,47100602.78533976
2025-08-15,48.770623733448986,57339943.43205283
2025-08-16,47.7329002524564,77097316.44016759
2025-08-17,48.42304039093669,51259651.52831736
2025-08-18,48.26069432677543,33089271.982442137
2025-08-19,46.77368155705069,35865730.10866949
2025-08-20,44.710597358802396,30463449.113413256
2025-08-21,46.45283248589492,30835037.065056678
2025-08-22,44.89043518354706,23520792.18970828
2025-08-23,49.39117481701234,49827794.98565831
2025-08-24,48.626119497436434,35767827.72891151
2025-08-25,46.519116841891545,39513035.41990425
2025-08-26,42.877715041606116,51616818.5758861
2025-08-27,44.558716895587345,31713224.565105133
2025-08-28,43.905348185282,26377613.407699313
2025-08-29,44.62558322064626,22057546.919528846
2025-08-30,43.13018128836008,24571207.056583155
2025-08-31,43.13802310420182,13751665.224595282
2025-09-01,42.503575253484875,16112591.624493925
2025-09-02,42.20525379460769,61584669.893712625
2025-09-03,43.31517705964013,24454994.601181578
2025-09-04,43.268467563801984,19216133.089694053
2025-09-05,42.25769146310418,23551852.820455275
2025-09-06,43.45286492426433,27128760.062362954
2025-09-07,42.356887926562045,16055505.952486247
2025-09-08,42.76389599942826,15767276.594540657
2025-09-09,43.562655020256535,37626382.49468213
2025-09-10,43.376505126230406,28855386.031120904
2025-09-11,43.947073250921456,25508300.452315543
2025-09-12,45.101094383353036,34185903.689497516
2025-09-13,45.81688706737797,35288050.668799415
2025-09-14,46.95493666559516,92118352.2586745
2025-09-15,44.943297616365406,29741750.127926152
2025-09-16,44.23083584701336,30682330.57979757
2025-09-17,44.85075951559413,18507408.683421895
2025-09-18,45.94656981675932,27146740.728250995
2025-09-19,46.0602248576702,22351275.68451091
2025-09-20,44.01879422949691,21355672.20554934
2025-09-21,44.68911690590495,14994159.218179233
2025-09-22,44.442606301319046,15196699.614064682
2025-09-23,42.24577881401662,46938208.00958146
2025-09-24,41.28015569579798,30302442.336682893
2025-09-25,41.50487206932714,21027966.12297677
2025-09-26,39.58242030342877,58228516.20819027
2025-09-27,41.07726873791052,25849856.285419907
2025-09-28,40.988710784445594,12893490.943729486
2025-09-29,41.7982685651339,15923614.778286146
2025-09-30,42.059023211454885,19967152.838094577
2025-10-01,41.53909354402442,22600334.52091425
2025-10-02,43.06136371757288,21984730.723352313
2025-10-03,43.91721365481326,32319764.470504068
2025-10-04,43.898154076159166,22402358.248272844
2025-10-05,42.702559218428654,18404046.868968867
2025-10-06,42.95739408259617,21957113.40311554
2025-10-07,43.94774229282568,19947011.668103926
2025-10-08,42.242895020679,22099991.962608155
2025-10-09,42.799795882875735,17939317.70614402
2025-10-10,42.069443857770885,17006785.7051798
2025-10-11,30.207468828165027,82795060.26756229
2025-10-12,32.12887255996841,57607623.51226476
2025-10-13,34.734528462302876,33527816.509693563
2025-10-14,36.160244741365325,33408495.284428086
2025-10-15,36.52234487186578,48916675.43914379
2025-10-16,35.15669778008026,40038478.293610714
2025-10-17,33.9142242904847,27547212.44652209
2025-10-18,33.382007052134995,58348795.545760155
2025-10-18,34.34003705517068,21294534.580351163
