date,price_usd,volume_usd
2025-07-21,2022.226787423043,111816153.92825854
2025-07-22,2103.0451945676336,115782614.79973663
2025-07-23,2084.5654453035236,146485492.11677644
2025-07-24,2032.8851232120765,99885584.42103197
2025-07-25,2018.4380331879472,163813595.5127137
2025-07-26,2207.4682303518866,216909481.619173
2025-07-27,2284.5865671939514,106492694.68317258
2025-07-28,2319.505493951038,92324220.77446863
2025-07-29,2167.15122729307,142298989.48344287
2025-07-30,2052.830492773975,120970348.04870415
2025-07-31,2053.9680458693833,93409279.73695883
2025-08-01,1977.1088169363925,103072855.63623156
2025-08-02,1905.880048118733,114094292.37274238
2025-08-03,1845.3985320700683,62375537.445020474
2025-08-04,1889.9240320635424,35063718.895577334
2025-08-05,1969.4959915233596,70270049.42868115
2025-08-06,1818.3664757897243,94335639.10017705
2025-08-07,1925.93103374038,81947567.57209924
2025-08-08,1994.3524908136528,77999791.27546522
2025-08-09,2015.925798081865,151562094.29878134
2025-08-10,2092.027231295539,71619318.1999998
2025-08-11,2093.3399781746007,59704643.47322149
2025-08-12,2008.279969702389,79767769.17727675
2025-08-13,2001.4958676416265,100933696.30954945
2025-08-14,1968.4956255931056,123991687.81595649
2025-08-15,1849.0398677111643,127223699.24271294
2025-08-16,1830.8429587624917,92968322.79493365
2025-08-17,1789.9529579867028,53780798.61814639
2025-08-18,1836.1440488382393,75769503.80909395
2025-08-19,1714.1593617881597,110730121.39593673
2025-08-20,1655.419962846319,75690553.11531706
2025-08-21,1668.5246029981154,72348373.18667895
2025-08-22,1613.9809937350997,75822424.58796126
2025-08-23,1715.6173303478051,136027983.19723868
2025-08-24,1603.0207681726786,110309441.9203941
2025-08-25,1521.3465319373013,126845433.52560861
2025-08-26,1488.5157977549916,125934340.97401585
2025-08-27,1597.0065008239771,154707112.28059056
2025-08-28,1589.8026792872934,87402432.99963295
2025-08-29,1540.8623546080314,52544522.020210184
2025-08-30,1536.1105595530985,64642490.44394873
2025-08-31,1559.268614482329,30997804.595111422
2025-09-01,1543.9651071457988,41904426.46073719
2025-09-02,1576.7656552407161,52470951.38784936
2025-09-03,1749.1497213902142,175849791.53635383
2025-09-04,1785.8497154162274,71925865.49508837
2025-09-05,1747.2596307139163,116724887.90235817
2025-09-06,1795.4568234516287,110711029.98620158
2025-09-07,1710.8404111608565,60152119.7180946
2025-09-08,1704.309154047397,42677332.96124758
2025-09-09,1668.5459902714863,58186064.384415865
2025-09-10,1673.468280845617,64555515.80243034
2025-09-11,1732.407557642267,45707847.70438218
2025-09-12,1723.4289818175403,30065487.328491196
2025-09-13,1756.3994298760135,17007343.599883895
2025-09-14,1833.7384972437926,15676712.898944695
2025-09-15,1800.8041592001375,17086402.428401336
2025-09-16,1746.4697402348738,5727921.654365206
2025-09-17,1765.7458079102535,5945268.124244953
2025-09-18,1835.9184870509675,11524820.388928097
2025-09-19,1849.334937981497,3662859.891225237
2025-09-20,1737.4341583461573,2084598.0150453437
2025-09-21,1687.8967938045803,1279555.6470190852
2025-09-22,1674.33924665234,2008255.0732824237
2025-09-23,1593.7450703416673,4471799.780697624
2025-09-24,1629.9984317167487,2282566.1590047805
2025-09-25,1607.7444610130162,1221433.3289486447
2025-09-26,1548.8154000579775,1254482.3756758892
2025-09-27,1608.960858452757,1136226.6908946515
2025-09-28,1553.2235265464824,405356.7542730626
2025-09-29,1638.804697755097,925311.472780913
2025-09-30,1572.3596468493186,850286.5682050539
2025-10-01,1615.0070040282242,828728.5551650296
2025-10-02,1687.1415279375371,1811249.1263420242
2025-10-03,1668.2064657649632,1322301.5355147964
2025-10-04,1647.9760107494858,1203712.1593445847
2025-10-05,1604.9606707241035,460344.36339152185
2025-10-06,1603.2656662424947,731974.4883781634
2025-10-07,1641.8758491419862,522039.6315515626
2025-10-08,1577.553961957632,1045679.8126446668
2025-10-09,1621.862864592022,412652.7524372249
2025-10-10,1582.9373859913667,496367.03801095235
2025-10-11,1476.4703727597164,2831502.8005911424
2025-10-12,1380.2548532394258,1103383.206896712
2025-10-13,1499.7571661264376,754543.9430478354
2025-10-14,1545.4467915184302,476922.7344816456
2025-10-15,1502.5158333284246,489284.7328744432
2025-10-16,1420.7591212628026,926265.6863849624
2025-10-17,1422.2928154591289,368727.8142580101
2025-10-18,1388.7469250121367,797079.3897307111
2025-10-18,1403.216918603384,683135.2269479913
