date,price_usd,volume_usd
2025-07-21,5.175749332208618,148486780.3908661
2025-07-22,5.197832648749997,159401336.3237168
2025-07-23,5.108330434612673,160564823.4235086
2025-07-24,4.699875554962904,191376665.8518956
2025-07-25,4.6255216153827945,147577181.9641916
2025-07-26,4.709150877158896,132608904.25166386
2025-07-27,4.76999453464984,65802164.605446815
2025-07-28,4.86911375977831,69332910.28342189
2025-07-29,4.625178345368301,131969655.3405202
2025-07-30,4.609353672821671,129696050.56819333
2025-07-31,4.420278771400123,155829451.15971467
2025-08-01,4.214784878914719,125267846.20456731
2025-08-02,4.153912296138923,169587352.3950029
2025-08-03,4.098623346104737,100638636.55743888
2025-08-04,4.274886132880088,72739181.01450263
2025-08-05,4.313205977773708,100263247.03959109
2025-08-06,4.225156871619966,107736258.67664172
2025-08-07,4.3264102532128526,91470170.91185229
2025-08-08,4.466010909478964,89145616.81883514
2025-08-09,4.604452141531069,207499310.19643462
2025-08-10,4.731282886821623,112974089.42259295
2025-08-11,4.666166261793708,93429137.11191995
2025-08-12,4.493966990668145,122347091.75058056
2025-08-13,4.702461007703959,125332497.68786724
2025-08-14,4.860769850349751,155551932.24666262
2025-08-15,4.52881037349133,158556430.74749228
2025-08-16,4.456284299145873,127348422.7609929
2025-08-17,4.574267136220595,75006299.69868504
2025-08-18,4.636193514127893,90709142.09189774
2025-08-19,4.467501237262981,114114155.28772298
2025-08-20,4.291034644017393,108254976.80252889
2025-08-21,4.4720633955206255,81949114.0695254
2025-08-22,4.423780075709045,96269151.99139178
2025-08-23,4.825782848239898,190690664.01736712
2025-08-24,4.886350350491669,159141960.31327254
2025-08-25,4.786596166977107,140085324.41902095
2025-08-26,4.418970111388085,197898680.7269659
2025-08-27,4.527507232601881,131141592.4657916
2025-08-28,4.4913854859262266,89712801.79785764
2025-08-29,4.79512471607549,115375588.47940399
2025-08-30,4.484628333225992,139476779.7013866
2025-08-31,4.501744775196437,64860076.63115807
2025-09-01,4.4671512899059564,65347026.73667402
2025-09-02,4.384347722334381,116498254.32675079
2025-09-03,4.429089501562535,87387482.0227416
2025-09-04,4.51905454066887,77755206.46487917
2025-09-05,4.397139362154743,88311652.40516183
2025-09-06,4.439108307510056,106905877.75054586
2025-09-07,4.412577682794071,55754839.00706555
2025-09-08,4.4894219003200755,71336171.94377589
2025-09-09,4.5439120471380825,110963425.33612823
2025-09-10,4.58987996149801,117487044.52809046
2025-09-11,4.68029515042576,111160393.39536463
2025-09-12,4.692128586777952,77114468.1612674
2025-09-13,4.750200451487505,89652148.5900334
2025-09-14,4.8264419264020475,129197860.00594947
2025-09-15,4.641152574794351,87089817.01878116
2025-09-16,4.507466622944135,110592050.18028928
2025-09-17,4.548015497923095,111403952.21705061
2025-09-18,4.610446655384221,99522922.07759945
2025-09-19,4.677652098755667,95217459.85958768
2025-09-20,4.479699159284571,100098164.31920122
2025-09-21,4.4515698399851615,67468388.28277071
2025-09-22,4.408318664561507,86889309.00493558
2025-09-23,4.160804051654179,148737304.31891647
2025-09-24,4.132476866286123,74916554.95188443
2025-09-25,4.148330701520777,74576318.63761307
2025-09-26,4.007266306738113,115193278.2536912
2025-09-27,4.115176441351708,79403229.26345679
2025-09-28,4.116912001868327,64192107.60274269
2025-09-29,4.1813556216041246,65635581.1290329
2025-09-30,4.115859995265596,95412989.01187098
2025-10-01,4.09674076985159,93197327.37806684
2025-10-02,4.1269765230788344,232476112.93672952
2025-10-03,4.3099719118357545,165559693.28825322
2025-10-04,4.282348425267762,110656940.7396926
2025-10-05,4.1378672196653605,86708857.3797485
2025-10-06,4.150985345929949,112660579.59546784
2025-10-07,4.27244661850466,120530937.52352467
2025-10-08,4.058954230035976,138530196.8340604
2025-10-09,4.171296625102169,95357261.6314424
2025-10-10,4.059361677496595,94848119.02199145
2025-10-11,2.9734800258540437,299047771.669859
2025-10-12,3.145882852128926,249899693.37971503
2025-10-13,3.4836970362035036,137199641.61678582
2025-10-14,3.641816474970658,126713261.180206
2025-10-15,3.4748716903772188,138538182.78906706
2025-10-16,3.3327297180790554,94430748.39213067
2025-10-17,3.249884590420325,101878655.4241252
2025-10-18,3.15511862203468,102618000.55752832
2025-10-18,3.2210252077057953,72862917.93279299
