date,price_usd,volume_usd
2025-07-21,0.4842965749484871,656614710.1210145
2025-07-22,0.4866453338176049,707212498.8301908
2025-07-23,0.48116330404203334,755849910.5458413
2025-07-24,0.4332954998909688,658639824.0027896
2025-07-25,0.43036495280312476,472720103.4834926
2025-07-26,0.4433113436066837,467589312.85038525
2025-07-27,0.44935898421501447,247197752.76063
2025-07-28,0.459918578805063,275254230.12622607
2025-07-29,0.4321080374687473,480531702.39463985
2025-07-30,0.42424497828820074,319477634.53782576
2025-07-31,0.415692159253548,313585956.10296303
2025-08-01,0.39790198866964643,266054410.95161387
2025-08-02,0.3783150949742991,410520510.8594718
2025-08-03,0.3692816320748889,236985112.35140356
2025-08-04,0.3831213126898438,147919298.7705937
2025-08-05,0.4051124441852245,212817267.16244227
2025-08-06,0.38360944018801874,200308957.5230323
2025-08-07,0.38912817417032236,186319676.62251976
2025-08-08,0.4165720963122663,224251698.2810684
2025-08-09,0.43392367699540113,346098414.2848883
2025-08-10,0.4729767262340603,352815536.291199
2025-08-11,0.467030180660747,319758108.51900154
2025-08-12,0.4369630218390181,446315361.2772182
2025-08-13,0.47712817806257346,448275387.75038564
2025-08-14,0.5710777471086387,1218946226.0413606
2025-08-15,0.5169476419075816,907335924.7117035
2025-08-16,0.4817275084367446,1151703985.4030015
2025-08-17,0.49271372085603937,596567167.3334693
2025-08-18,0.5382162753513932,828833240.4837015
2025-08-19,0.5118095006965173,807339748.1908215
2025-08-20,0.475416237049851,520007557.27397305
2025-08-21,0.5114867365273282,509470453.8528878
2025-08-22,0.49613284260582174,385669811.41026735
2025-08-23,0.5850160613963588,1171025099.1357567
2025-08-24,0.6113699370155598,668590017.9157753
2025-08-25,0.5787544691348723,855410367.6243306
2025-08-26,0.5182695845989321,637126870.337518
2025-08-27,0.5299964380753018,550947346.5104055
2025-08-28,0.5057675906217575,477208424.343524
2025-08-29,0.5233488982695721,471168986.91610396
2025-08-30,0.4912455465686082,488465893.0221907
2025-08-31,0.4991242896863002,236680116.52460766
2025-09-01,0.4967866255619698,268801197.98663974
2025-09-02,0.47575808850558615,416107175.3655668
2025-09-03,0.5023808754062243,358258323.22406566
2025-09-04,0.5101286374109062,283884399.6378559
2025-09-05,0.48271019946430416,249284847.30534628
2025-09-06,0.49459646743205443,371487352.2057456
2025-09-07,0.48871316690023997,174459829.4377504
2025-09-08,0.49632216662903156,160528904.9741418
2025-09-09,0.5123896956669521,335036355.2765923
2025-09-10,0.5129860758782465,512558421.5425776
2025-09-11,0.5124705278634032,420341145.84918755
2025-09-12,0.5297751334047244,338648224.71928823
2025-09-13,0.5471945098898775,341387701.8108817
2025-09-14,0.5417974068873334,306724525.4267562
2025-09-15,0.513669467050173,290507881.06794465
2025-09-16,0.4920693116960969,384860113.97164994
2025-09-17,0.4949862056140136,258974356.45523506
2025-09-18,0.5209649749001295,388625986.80984807
2025-09-19,0.5250748573298553,360617580.2687707
2025-09-20,0.488923606898076,380683045.7170539
2025-09-21,0.49318790638277193,203628495.06105328
2025-09-22,0.48174516852064786,194942207.17639124
2025-09-23,0.4364983524810095,534009283.68553525
2025-09-24,0.43312547191866885,290086898.40683174
2025-09-25,0.42897988680200627,251976274.9496009
2025-09-26,0.4069582778110239,527850794.6559296
2025-09-27,0.4248692662030432,249541701.24934533
2025-09-28,0.42458939368839815,100944061.88590983
2025-09-29,0.430706070238773,119426684.77637708
2025-09-30,0.4180442517185168,172319356.4544542
2025-10-01,0.42119356579356965,217997159.24484882
2025-10-02,0.4345572472698498,224721573.36289728
2025-10-03,0.45192453630578283,290843401.52534306
2025-10-04,0.4505143051833715,266867968.06104884
2025-10-05,0.43447571260583856,168789419.55900657
2025-10-06,0.4325006602094012,204074325.6618759
2025-10-07,0.4568127572991723,286426685.7456313
2025-10-08,0.42189011764380085,302586722.72519636
2025-10-09,0.4348542687731575,200193882.49049303
2025-10-10,0.41804645009446206,187361611.90201843
2025-10-11,0.2980363621520224,767044482.9962748
2025-10-12,0.30228794271762766,499113022.626056
2025-10-13,0.33503740055581666,344514510.99873257
2025-10-14,0.3587342345220535,422849416.4035585
2025-10-15,0.34349649348645167,354718151.5079735
2025-10-16,0.3268116827105193,233199678.7086854
2025-10-17,0.3156954286401887,285090247.8400033
2025-10-18,0.3041036397665469,276412285.7886584
2025-10-18,0.3116307709498883,169481535.99486208
